epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.377,1.50441,0.69949,1.11162,0.96053,0.95171,0.97514,0.48501,1.68238,0.64397,1.15117,0.000166341,0.000166341,0.0668981
2,352.999,1.45331,0.64671,1.09276,0.96003,0.96113,0.97503,0.49529,1.65473,0.63786,1.13733,0.000327513,0.000327513,0.033726
3,522.408,1.4315,0.62832,1.0851,0.96441,0.96153,0.97606,0.48872,1.67799,0.63618,1.14754,0.000483185,0.000483185,0.000548289
4,687.625,1.41916,0.62218,1.07559,0.96745,0.96157,0.97553,0.4898,1.66405,0.64215,1.14252,0.00047525,0.00047525,0.00047525
5,852.276,1.41969,0.61775,1.07861,0.96683,0.95891,0.9723,0.49448,1.65321,0.62857,1.13948,0.000467,0.000467,0.000467
6,1015.85,1.39,0.60698,1.06853,0.96529,0.96509,0.97776,0.49171,1.66073,0.61312,1.14124,0.00045875,0.00045875,0.00045875
7,1182.17,1.37874,0.60023,1.05774,0.97024,0.962,0.98106,0.50225,1.64017,0.61506,1.13307,0.0004505,0.0004505,0.0004505
8,1350.6,1.37169,0.59233,1.05997,0.96449,0.96365,0.97355,0.48266,1.68429,0.62057,1.15483,0.00044225,0.00044225,0.00044225
9,1516.35,1.37098,0.5966,1.06234,0.97007,0.96267,0.9785,0.49561,1.65239,0.61616,1.13607,0.000434,0.000434,0.000434
10,1679.1,1.37274,0.59655,1.06318,0.96529,0.96669,0.98032,0.49615,1.66091,0.60925,1.14352,0.00042575,0.00042575,0.00042575
11,1841.67,1.35149,0.58782,1.0504,0.96796,0.95585,0.97528,0.49131,1.66236,0.60997,1.14491,0.0004175,0.0004175,0.0004175
12,2003.14,1.34892,0.58364,1.0569,0.9565,0.96126,0.9778,0.49824,1.6552,0.60873,1.14627,0.00040925,0.00040925,0.00040925
13,2167.31,1.32754,0.57611,1.04614,0.96389,0.95901,0.97209,0.48318,1.68696,0.61924,1.1581,0.000401,0.000401,0.000401
14,2331.05,1.32408,0.56864,1.04465,0.96548,0.9652,0.97682,0.49738,1.65001,0.59806,1.14687,0.00039275,0.00039275,0.00039275
15,2495.17,1.30634,0.56487,1.03697,0.96229,0.95774,0.96998,0.48573,1.68152,0.61427,1.15562,0.0003845,0.0003845,0.0003845
16,2660.24,1.30224,0.56116,1.03357,0.96576,0.96296,0.97765,0.49209,1.66616,0.6023,1.14969,0.00037625,0.00037625,0.00037625
17,2822.37,1.2942,0.55759,1.03552,0.97282,0.95988,0.97972,0.49927,1.65066,0.5994,1.14224,0.000368,0.000368,0.000368
18,2982.63,1.2919,0.55123,1.02913,0.9668,0.96214,0.9795,0.4958,1.65433,0.59596,1.14416,0.00035975,0.00035975,0.00035975
19,3140.76,1.27587,0.5432,1.02763,0.96688,0.95576,0.9753,0.48172,1.69944,0.61128,1.16924,0.0003515,0.0003515,0.0003515
20,3299.68,1.25314,0.54027,1.02655,0.96731,0.95985,0.9772,0.49557,1.64665,0.59463,1.14758,0.00034325,0.00034325,0.00034325
21,3456.84,1.24728,0.54078,1.01064,0.96522,0.96327,0.97281,0.49023,1.67683,0.60219,1.16056,0.000335,0.000335,0.000335
22,3614.57,1.24472,0.53533,1.01654,0.96999,0.95818,0.97311,0.49512,1.6588,0.60447,1.15586,0.00032675,0.00032675,0.00032675
23,3772.57,1.23774,0.53412,1.01081,0.97165,0.96164,0.97888,0.50467,1.63401,0.58783,1.14319,0.0003185,0.0003185,0.0003185
24,3931.64,1.22278,0.52611,1.01287,0.96572,0.96991,0.97818,0.5006,1.65576,0.59572,1.15756,0.00031025,0.00031025,0.00031025
25,4089.52,1.21632,0.52149,1.00411,0.96699,0.95852,0.97468,0.4916,1.6575,0.59939,1.15692,0.000302,0.000302,0.000302
26,4247.71,1.20641,0.52925,1.00655,0.96763,0.96943,0.97634,0.49419,1.66407,0.58819,1.1551,0.00029375,0.00029375,0.00029375
27,4405.84,1.1929,0.52058,1.00393,0.967,0.96629,0.97744,0.49497,1.66222,0.59268,1.15437,0.0002855,0.0002855,0.0002855
28,4563.55,1.17976,0.51515,0.99389,0.9693,0.96651,0.97847,0.49661,1.66323,0.59257,1.1595,0.00027725,0.00027725,0.00027725
29,4721.91,1.17736,0.51553,0.99104,0.96357,0.96533,0.97741,0.4963,1.66099,0.58903,1.15593,0.000269,0.000269,0.000269
30,4880.1,1.16844,0.50584,0.98929,0.96749,0.96483,0.97647,0.49235,1.6673,0.58707,1.16013,0.00026075,0.00026075,0.00026075
31,5037.63,1.15754,0.50228,0.99254,0.96612,0.96873,0.97882,0.49519,1.65398,0.57876,1.16021,0.0002525,0.0002525,0.0002525
32,5194.01,1.14968,0.49875,0.98141,0.96824,0.96633,0.978,0.49615,1.65206,0.57295,1.1593,0.00024425,0.00024425,0.00024425
33,5351.56,1.14774,0.50073,0.98053,0.96786,0.96501,0.97539,0.49797,1.64988,0.5845,1.15894,0.000236,0.000236,0.000236
34,5509.55,1.14488,0.49517,0.98434,0.96723,0.9604,0.97467,0.49559,1.66166,0.58664,1.16288,0.00022775,0.00022775,0.00022775
35,5667.5,1.12807,0.49394,0.97843,0.96372,0.96524,0.97771,0.49845,1.6539,0.58148,1.15885,0.0002195,0.0002195,0.0002195
36,5822.36,1.10539,0.48704,0.97369,0.96906,0.96714,0.97743,0.49299,1.6622,0.57536,1.16468,0.00021125,0.00021125,0.00021125
37,5978.01,1.09297,0.47952,0.96467,0.96659,0.96094,0.97445,0.49319,1.66066,0.57864,1.17399,0.000203,0.000203,0.000203
38,6133.42,1.10084,0.48078,0.97101,0.96778,0.96399,0.97633,0.49217,1.66439,0.58267,1.1692,0.00019475,0.00019475,0.00019475
39,6288.26,1.09257,0.47953,0.96405,0.96603,0.96392,0.9764,0.4973,1.65603,0.57899,1.16868,0.0001865,0.0001865,0.0001865
40,6443.99,1.07839,0.47574,0.96449,0.96994,0.96524,0.98075,0.49935,1.65828,0.57242,1.16624,0.00017825,0.00017825,0.00017825
41,6600.27,1.06952,0.47212,0.96355,0.9632,0.97104,0.98049,0.49671,1.65953,0.57538,1.16755,0.00017,0.00017,0.00017
42,6756.64,1.06535,0.46821,0.9585,0.96746,0.96489,0.97749,0.49617,1.6594,0.57778,1.16959,0.00016175,0.00016175,0.00016175
43,6913.01,1.05521,0.4594,0.95467,0.96932,0.96884,0.98095,0.50134,1.64877,0.56785,1.16803,0.0001535,0.0001535,0.0001535
44,7068.16,1.04879,0.4655,0.95627,0.97159,0.96683,0.97894,0.49735,1.66236,0.57088,1.17283,0.00014525,0.00014525,0.00014525
45,7224.89,1.0319,0.4613,0.94905,0.96681,0.97052,0.97751,0.49894,1.66004,0.57391,1.17236,0.000137,0.000137,0.000137
46,7381.35,1.03977,0.4615,0.94841,0.96978,0.96411,0.97738,0.49537,1.66414,0.57691,1.17708,0.00012875,0.00012875,0.00012875
47,7537.58,1.02788,0.45683,0.94542,0.97037,0.96982,0.98153,0.49933,1.65486,0.57305,1.17391,0.0001205,0.0001205,0.0001205
48,7694.57,1.01826,0.45717,0.94528,0.97012,0.96723,0.97903,0.49727,1.6601,0.57129,1.17712,0.00011225,0.00011225,0.00011225
49,7849.87,1.01326,0.45239,0.94589,0.97154,0.96236,0.97663,0.49645,1.66263,0.57411,1.17945,0.000104,0.000104,0.000104
50,8006.82,1.0046,0.44524,0.94065,0.97492,0.95925,0.97917,0.49742,1.65594,0.57241,1.17899,9.575e-05,9.575e-05,9.575e-05
51,8165.81,1.00177,0.44858,0.94076,0.97035,0.96309,0.98043,0.49851,1.65506,0.57141,1.17839,8.75e-05,8.75e-05,8.75e-05
52,8320.54,0.98386,0.44022,0.93533,0.96762,0.96659,0.9787,0.4971,1.66134,0.5743,1.17994,7.925e-05,7.925e-05,7.925e-05
53,8477.5,0.98778,0.44043,0.93478,0.96819,0.96648,0.97907,0.49995,1.6558,0.57063,1.17808,7.1e-05,7.1e-05,7.1e-05
54,8634.2,0.98293,0.44422,0.93754,0.97155,0.96586,0.97865,0.4977,1.65699,0.56626,1.18145,6.275e-05,6.275e-05,6.275e-05
55,8790.02,0.97326,0.43767,0.92941,0.97187,0.96592,0.97781,0.49736,1.66038,0.57115,1.18358,5.45e-05,5.45e-05,5.45e-05
56,8946.11,0.96635,0.43456,0.93013,0.97039,0.96837,0.97919,0.49811,1.6575,0.56806,1.18388,4.625e-05,4.625e-05,4.625e-05
57,9101.3,0.96678,0.43181,0.92913,0.97112,0.96707,0.97906,0.49789,1.65862,0.57136,1.18199,3.8e-05,3.8e-05,3.8e-05
58,9257.26,0.95917,0.4317,0.9251,0.97057,0.96731,0.97911,0.49805,1.65919,0.57045,1.18287,2.975e-05,2.975e-05,2.975e-05
59,9411.84,0.95505,0.43081,0.92676,0.97101,0.96819,0.97948,0.50014,1.655,0.56964,1.18137,2.15e-05,2.15e-05,2.15e-05
60,9568.27,0.95251,0.42774,0.92365,0.97229,0.96745,0.97943,0.49965,1.65791,0.57028,1.18371,1.325e-05,1.325e-05,1.325e-05
