epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.08,2.30644,4.0829,1.32634,0.69599,0.63938,0.68225,0.29747,1.91987,2.27265,1.20652,0.000332292,0.000332292,0.000332292
2,602.339,1.9703,2.01103,1.17899,0.84081,0.75608,0.82212,0.35924,1.88038,1.47928,1.18823,0.000659035,0.000659035,0.000659035
3,883.174,1.91665,1.55612,1.17538,0.86977,0.81118,0.86567,0.3987,1.79932,1.22931,1.16673,0.000979179,0.000979179,0.000979179
4,1147.88,1.86551,1.35585,1.16067,0.91058,0.81555,0.89339,0.41069,1.81546,1.07763,1.18149,0.0009703,0.0009703,0.0009703
5,1407.14,1.84992,1.23375,1.14597,0.91724,0.86239,0.93026,0.4496,1.72777,0.98309,1.14305,0.0009604,0.0009604,0.0009604
6,1660.8,1.81616,1.14257,1.13653,0.93247,0.87877,0.9285,0.42768,1.77182,0.95907,1.15067,0.0009505,0.0009505,0.0009505
7,1908.72,1.7934,1.08705,1.12579,0.91266,0.90311,0.94037,0.44008,1.7302,0.93139,1.13034,0.0009406,0.0009406,0.0009406
8,2158.99,1.76539,1.05798,1.11347,0.9511,0.90756,0.95209,0.46486,1.70888,0.88411,1.12771,0.0009307,0.0009307,0.0009307
9,2431.72,1.75673,1.02197,1.11283,0.94527,0.91324,0.95255,0.47006,1.68903,0.86165,1.12155,0.0009208,0.0009208,0.0009208
10,2648.6,1.73824,0.99513,1.10407,0.95652,0.91803,0.95517,0.47109,1.68502,0.85266,1.11934,0.0009109,0.0009109,0.0009109
11,2867.04,1.72846,0.96636,1.10069,0.94831,0.91796,0.95541,0.47868,1.6688,0.81138,1.1139,0.000901,0.000901,0.000901
12,3086.9,1.72575,0.94216,1.10184,0.96084,0.92084,0.96051,0.47993,1.68512,0.80469,1.12092,0.0008911,0.0008911,0.0008911
13,3314.19,1.70739,0.9346,1.09286,0.94658,0.92216,0.9564,0.452,1.73091,0.8313,1.1338,0.0008812,0.0008812,0.0008812
14,3542.29,1.69993,0.90398,1.09416,0.9575,0.94357,0.97025,0.49148,1.65131,0.7474,1.10868,0.0008713,0.0008713,0.0008713
15,3769.21,1.68511,0.89554,1.09053,0.96103,0.94084,0.9659,0.49303,1.64882,0.75009,1.10471,0.0008614,0.0008614,0.0008614
16,4003.06,1.68057,0.87481,1.08835,0.95719,0.93936,0.96431,0.49288,1.62748,0.75271,1.09264,0.0008515,0.0008515,0.0008515
17,4238.71,1.68016,0.87652,1.08307,0.96677,0.95816,0.97304,0.50797,1.61125,0.72302,1.09232,0.0008416,0.0008416,0.0008416
18,4469.66,1.66968,0.8607,1.08357,0.97414,0.94544,0.973,0.50173,1.63406,0.71348,1.09843,0.0008317,0.0008317,0.0008317
19,4701.64,1.66906,0.85264,1.07714,0.96771,0.94312,0.97124,0.49971,1.64028,0.7215,1.09922,0.0008218,0.0008218,0.0008218
20,4933.82,1.65929,0.83535,1.07479,0.96487,0.95479,0.97233,0.50097,1.63112,0.70537,1.09441,0.0008119,0.0008119,0.0008119
21,5159.53,1.65389,0.82912,1.07857,0.96493,0.9607,0.97468,0.50537,1.61869,0.71018,1.08891,0.000802,0.000802,0.000802
22,5382.46,1.64787,0.81715,1.07545,0.96793,0.96115,0.97488,0.50208,1.61993,0.69415,1.08766,0.0007921,0.0007921,0.0007921
23,5607.72,1.65234,0.81415,1.06797,0.97323,0.96426,0.97758,0.50719,1.61739,0.68988,1.08508,0.0007822,0.0007822,0.0007822
24,5837.6,1.64049,0.81018,1.06843,0.97438,0.96417,0.9784,0.5146,1.60193,0.68344,1.07943,0.0007723,0.0007723,0.0007723
