epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.6,2.17933,3.01526,1.33785,0.77958,0.7936,0.832,0.3486,1.90849,1.27495,1.23259,0.000332812,0.000332812,0.000332812
2,519.946,1.89957,1.24632,1.1868,0.88242,0.83008,0.88721,0.41541,1.78327,1.04372,1.1803,0.000652956,0.000652956,0.000652956
3,769.812,1.8447,1.12657,1.16317,0.90092,0.84705,0.89988,0.40031,1.85733,0.98432,1.20847,0.0009599,0.0009599,0.0009599
4,1013.82,1.80286,1.05537,1.15352,0.92286,0.81968,0.89998,0.41549,1.83313,0.98137,1.19722,0.0009406,0.0009406,0.0009406
5,1256.04,1.76016,0.9957,1.13114,0.90709,0.88447,0.9208,0.42958,1.75986,0.89352,1.15587,0.0009208,0.0009208,0.0009208
6,1504.19,1.75354,0.95653,1.12328,0.95251,0.91398,0.95486,0.46535,1.72225,0.80859,1.14076,0.000901,0.000901,0.000901
7,1751.36,1.72449,0.92546,1.1055,0.9458,0.91225,0.95217,0.46848,1.70405,0.8202,1.13436,0.0008812,0.0008812,0.0008812
8,1995.4,1.70763,0.88234,1.09976,0.958,0.9139,0.95675,0.46952,1.71553,0.79313,1.13183,0.0008614,0.0008614,0.0008614
9,2237.11,1.69212,0.86776,1.09475,0.95863,0.93904,0.96855,0.47575,1.69869,0.73984,1.1322,0.0008416,0.0008416,0.0008416
10,2474.82,1.67223,0.85359,1.08971,0.95991,0.92667,0.96627,0.48185,1.67051,0.76033,1.11567,0.0008218,0.0008218,0.0008218
11,2712.34,1.63971,0.82101,1.08384,0.95851,0.92544,0.96103,0.48635,1.6626,0.7735,1.11545,0.000802,0.000802,0.000802
12,2950.66,1.64489,0.81196,1.07168,0.958,0.92663,0.96153,0.47726,1.68585,0.75466,1.11959,0.0007822,0.0007822,0.0007822
13,3188.5,1.62254,0.79509,1.07181,0.96381,0.9444,0.97183,0.4935,1.65128,0.71977,1.10653,0.0007624,0.0007624,0.0007624
14,3426.96,1.60335,0.77844,1.058,0.96377,0.9524,0.97473,0.49215,1.65792,0.70185,1.10938,0.0007426,0.0007426,0.0007426
15,3664.85,1.60656,0.77549,1.05786,0.96829,0.94544,0.97372,0.49026,1.65452,0.70342,1.10985,0.0007228,0.0007228,0.0007228
16,3902.57,1.57323,0.74674,1.04851,0.9629,0.93942,0.97025,0.49927,1.6452,0.697,1.10539,0.000703,0.000703,0.000703
17,4143.17,1.57409,0.73706,1.04844,0.96505,0.94398,0.97107,0.49178,1.65872,0.69097,1.10985,0.0006832,0.0006832,0.0006832
18,4380.83,1.55043,0.73691,1.04938,0.95747,0.94053,0.9673,0.48081,1.69659,0.70469,1.119,0.0006634,0.0006634,0.0006634
19,4618.89,1.5411,0.7159,1.04098,0.96493,0.95039,0.97045,0.4899,1.64011,0.66728,1.10298,0.0006436,0.0006436,0.0006436
20,4859.95,1.53227,0.70693,1.03718,0.96537,0.94315,0.97288,0.4919,1.65615,0.67598,1.10806,0.0006238,0.0006238,0.0006238
21,5101.61,1.52839,0.70549,1.04044,0.96434,0.9543,0.97733,0.49757,1.65944,0.65473,1.10609,0.000604,0.000604,0.000604
22,5341.43,1.5073,0.68857,1.03162,0.96646,0.95559,0.97596,0.49212,1.64935,0.65277,1.10211,0.0005842,0.0005842,0.0005842
23,5579.23,1.50315,0.68836,1.03473,0.95998,0.95953,0.97756,0.50234,1.63962,0.66029,1.10016,0.0005644,0.0005644,0.0005644
24,5817.11,1.49125,0.68615,1.02504,0.96888,0.96234,0.979,0.50123,1.62923,0.63553,1.09658,0.0005446,0.0005446,0.0005446
25,6061.29,1.46355,0.66875,1.0146,0.96463,0.96862,0.97796,0.49994,1.63238,0.63629,1.10064,0.0005248,0.0005248,0.0005248
